internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
177021,Isoetes udupiensis,PLANTAE,TRACHEOPHYTA,ISOËTALES,LYCOPODIOPSIDA,ISOËTACEAE,Isoetes,udupiensis,,,,,"P.K.Shukla, G.K.Srivast., S.K.Shukla &amp; P.K.Rajagopal","<span style=""font-style: italic;"">Isoetes udupiensis</span> was reported by Shukla <em>et al</em>. (2005) from Alevoor, Udupi, Karnataka. The type is PK Shukla 8399 . Holotype is deposited in CAL and isotypes are in K, DD. But Fraser-Jenkins (2008) considers this as a dubious taxon, doubtfully endemic."
177024,Elaphoglossum angulatum,PLANTAE,TRACHEOPHYTA,POLYPODIALES,POLYPODIOPSIDA,DRYOPTERIDACEAE,Elaphoglossum,angulatum,,,,,(Blume) T.Moore,
177038,Eleocharis swamyi,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Eleocharis,swamyi,,,,,Govind.,"<span style=""font-style: italic;"">Eleocharis swamyi</span> is a doubtful species. Cook (1996) comments that all species of the&#160;<em>Eleocharis variegata</em> group need of taxonomic revision."
177066,Limnophila glandulifera,PLANTAE,TRACHEOPHYTA,SCROPHULARIALES,MAGNOLIOPSIDA,SCROPHULARIACEAE,Limnophila,glandulifera,,,,,Philcox,"<span style=""font-style: italic;"">Limnophila glandulifera</span> is known only from a single collection from Travancore (Cook 1996)."
177153,Eriocaulon baramaticum,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,ERIOCAULACEAE,Eriocaulon,baramaticum,,,,,"Shimpale, Bhagat, R.B.Deshmukh &amp; S.R.Yadav",
177249,Aponogeton appendiculatus,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,APONOGETONACEAE,Aponogeton,appendiculatus,,,,,H.Bruggen,"<span style=""font-style: italic;"">Aponogeton appendiculatus</span> is identified based on terminal plumule, germinating embryo warty, and crowned with a whorl of bent linear or conical about 1 cm long appendages."
177267,Nitella annamalaiensis,PLANTAE,CHAROPHYTA,CHARALES,CHAROPHYACEAE,CHARACEAE,Nitella,annamalaiensis,,,,,Subram.,Algaebase cite this species as of uncertain taxonomic status.
177278,Eleocharis wadoodii,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Eleocharis,wadoodii,,,,,"S.R.Yadav, Lekhak &amp; Chandore","<span style=""font-style: italic;"">Eleocharis wadoodii</span> is similar to <span style=""font-style: italic;"">E. tetraquetra</span> (Yadav <span style=""font-style: italic;"">et al</span>. 2009)."
177281,Scirpus naikianus,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Scirpus,naikianus,,,,,M.A.Wadood Khan,<p><em><br/></em></p>
177303,Bolbitis aspleniifolia,PLANTAE,TRACHEOPHYTA,POLYPODIALES,POLYPODIOPSIDA,DRYOPTERIDACEAE,Bolbitis,aspleniifolia,,,,,(Bory) K.Iwats.,"<em>&#160;Bolbitis aspleniifolia</em> was earlier considered a variety of <em>B. appendiculata</em>. Majid <span style=""font-style: italic;"">et al</span>. (1994, 1995) consider this taxon as a synonym of <em>B. appendiculata</em>. However, the taxon is morphologically and ecologically distinct from<em> B. appendiculata</em>&#160;(V. Irudayaraj pers. comm. 2011)."
177317,Chara setosa,PLANTAE,CHAROPHYTA,CHARALES,CHAROPHYACEAE,CHARACEAE,Chara,setosa,,,,,Klein ex Willd.,"<span style=""font-style: italic;"">Chara setosa</span> is an synonym of <span style=""font-style: italic;"">Chara brachypus </span>(Srinivasan 1965). However it is accepted in AlgaeBase as a valid name (Guiry and Guiry 2011)."
